"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
497,665.993,671.916,683.099,0.110,-0.658,-1.609,6063130.713,-5404540.185,-10356796.346,0.495,34446075.780,683.670,623.3538418365,624.5928261805,627.884773104
498,671.885,673.036,683.117,2.673,0.495,-0.207,17183267.942,-1135198.986,-8724654.092,0.882,37129118.958,691.890,621.6933463884,622.8549838045,628.2405644705
499,678.553,674.831,683.405,3.581,0.625,1.593,19074202.521,1149683.934,-7689220.460,0.662,38970353.136,698.370,615.4076821139,618.0737632386,631.9230560588
500,685.159,677.073,683.896,5.630,1.519,2.593,19551327.574,2993102.386,-6764800.849,0.874,41737192.533,695.250,628.0592818017,625.3397584287,627.5724566195
501,688.523,678.804,684.268,3.659,1.800,-0.593,10752512.463,2056129.039,-6767434.190,-0.806,39967879.629,691.030,636.0892509332,630.0544258282,626.2697523893
502,689.358,679.969,684.490,1.077,1.366,-2.141,4366817.275,1059871.693,-6821110.876,0.087,40140444.792,687.820,636.2820027846,632.521752834,629.1183514567
503,688.846,680.716,684.599,-0.588,3.103,-1.848,918085.067,389466.831,-6793513.121,-0.098,39958303.901,691.130,640.876980005,635.5701586724,627.9982965744
504,689.607,681.708,684.813,-1.037,5.954,-0.153,2225368.365,813320.939,-6412088.594,0.193,40240208.607,684.210,623.1182309146,626.2456150251,638.8175546779
505,687.808,681.946,684.793,-1.588,3.194,-0.965,-2944012.397,-529164.286,-6637356.965,-0.752,38795955.573,685.420,628.9221901334,626.7338994282,632.4140996455
506,687.012,682.277,684.814,-0.812,2.931,-2.921,-1411372.311,-321252.653,-6365512.217,-0.585,37996008.550,696.880,628.5575699831,626.7179117349,634.6398476899
507,690.301,683.668,685.209,1.317,5.740,-1.804,9327077.046,2643054.815,-5146840.480,0.290,38775894.375,697.560,634.3741165011,629.7562130397,632.8341683497
508,692.721,684.991,685.614,0.930,6.898,-1.749,6768012.471,2548467.054,-4923997.077,-0.186,38323533.545,702.700,621.9886420704,625.3263614896,639.6164647906
509,696.047,686.678,686.174,2.702,8.565,-2.169,10416679.260,3992804.748,-4181767.243,-0.628,36159668.643,701.960,623.7285262195,624.0503958129,637.7676405557
510,698.018,688.133,686.692,2.413,8.464,-3.511,6418906.074,3462381.410,-4096353.245,-0.248,35630990.651,720.780,637.0004398838,629.1418930491,630.9465371118
