NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
162,74.722,73.662,71.053,-1.180,2.730,14.365,-245668.329,1108801.701,1185758.023,-0.145,6728658.263,73.480
163,74.308,73.644,71.133,-3.847,1.142,13.413,-1525031.073,614272.343,1012987.053,-0.108,6305784.063,72.350
164,73.655,73.521,71.173,-3.417,-1.925,10.847,-2563270.545,113889.311,827651.429,-0.564,3991508.372,71.040
165,72.783,73.285,71.168,-3.870,-5.014,7.085,-3630461.140,-445989.893,611504.092,-0.975,-297253.874,70.910
166,72.159,73.059,71.160,-4.844,-5.137,6.712,-2613761.033,-458787.124,572426.554,0.107,181749.774,66.000
167,70.106,72.386,70.991,-10.180,-12.199,1.962,-12616491.229,-3521945.648,-515913.714,-0.930,-5994346.169,67.150
168,69.121,71.888,70.865,-7.187,-9.635,4.905,-5891146.353,-2466565.738,-251144.628,-0.087,-6562989.422,63.440
169,67.227,71.083,70.621,-10.698,-14.432,-0.549,-14723135.168,-5316141.649,-1304782.929,-0.796,-13511988.427,67.290
170,67.248,70.722,70.512,-5.105,-9.544,6.186,-458646.529,-2136477.611,-341664.447,0.928,-6748848.269,65.810
171,66.769,70.254,70.358,-0.288,-11.605,4.179,-4078357.859,-3010887.412,-701537.106,-0.646,-11688621.536,69.210
172,67.582,70.155,70.320,3.068,-6.549,5.471,4857051.827,-559577.068,66640.216,0.517,-8234876.402,69.850
173,68.338,70.126,70.305,10.104,-4.590,4.896,4195890.551,-232610.871,158670.635,0.289,-6935154.034,69.860
174,68.846,70.100,70.290,3.819,-5.403,5.322,2809177.038,-207052.692,154640.451,0.221,-6146820.480,69.000
175,68.897,69.996,70.248,4.847,-8.257,2.480,583681.098,-555648.700,22773.197,0.267,-4945365.862,70.200
176,69.331,70.015,70.246,1.430,-7.314,3.084,1944749.932,-58264.291,175039.243,0.389,-3430674.272,66.490
177,68.384,69.679,70.123,-4.810,-11.829,-3.470,-4824452.202,-1801558.784,-432760.616,-0.468,-5747882.606,66.000
178,67.589,69.329,69.988,-5.525,-13.635,-4.927,-4051896.345,-1868723.150,-500761.404,-0.488,-8242105.093,65.280
179,66.820,68.943,69.834,-5.391,-12.855,-6.261,-3618959.190,-1952948.077,-574608.075,-0.877,-11595703.478,69.120
180,67.586,68.960,69.810,-1.538,-6.468,-2.703,3388530.460,-109475.902,14838.411,1.000,-7063539.478,70.770
181,68.648,69.132,69.842,6.437,-5.032,2.358,4853820.757,642321.932,269578.180,0.928,-2686767.635,69.660
182,68.985,69.183,69.836,5.545,-5.199,0.898,1618911.685,119157.323,101693.438,-0.615,-5374315.175,70.680
183,69.550,69.325,69.863,8.272,-2.308,2.747,2834018.536,609164.458,270957.005,0.942,-512886.985,69.780
184,69.627,69.369,69.861,0.955,-1.774,3.286,-1376599.809,-381978.491,-59167.372,0.280,2539936.851,69.470
185,69.574,69.378,69.848,-1.837,-2.031,2.934,-1573158.766,-532864.032,-121695.546,-0.646,-1556472.899,68.930
186,69.360,69.336,69.818,-1.048,4.439,1.937,-2373581.691,-860631.985,-248014.628,-0.182,-2894663.990,68.930
187,69.216,69.297,69.789,-2.476,2.651,-0.834,-1582387.794,-778667.034,-239883.001,-0.702,-5573208.270,65.800
188,68.078,68.964,69.658,-5.704,3.720,-4.319,-8028410.783,-2696932.723,-917934.600,-0.516,-9020226.282,64.860
189,67.005,68.573,69.501,-6.636,-3.611,-5.590,-7928555.982,-3176162.595,-1141243.183,0.883,-1755972.816,67.890
190,67.300,68.508,69.448,-1.509,3.161,-2.288,-478304.978,-1500128.345,-630966.454,0.985,2933050.474,67.360
191,67.320,68.399,69.379,-2.278,-2.673,-0.311,-935308.215,-1533384.187,-670912.298,-0.705,474166.816,65.010
192,66.550,68.076,69.236,-1.201,-6.929,-1.901,-4614203.843,-2527537.607,-1041439.603,-0.376,-1439364.316,65.870
193,66.323,67.866,69.126,1.557,-5.711,0.030,-1204314.936,-1752013.752,-823180.505,0.201,-124047.596,67.400
194,66.682,67.821,69.069,-0.722,-2.319,1.414,2207454.476,-725060.699,-500092.839,0.314,1731058.404,69.470
195,67.611,67.978,69.082,3.132,-1.040,3.071,5879888.307,603493.269,-50097.797,0.526,5091386.008,70.350
196,68.524,68.204,69.124,8.214,5.805,5.377,5494882.658,996005.469,106458.569,0.782,9291035.394,69.770
197,68.940,68.353,69.145,5.921,5.712,4.807,2654180.386,612840.742,3714.873,-0.609,6114038.524,69.280
198,69.053,68.442,69.149,2.789,6.127,5.033,1215167.224,396107.424,-50926.896,0.568,8041597.644,67.710
199,68.605,68.372,69.102,-2.533,-2.040,3.028,-975868.184,-151896.998,-224927.293,-0.941,4830633.605,65.860
200,67.690,68.133,68.996,-6.382,-6.938,-1.555,-3091714.839,-834898.060,-457664.371,-0.956,1046038.956,64.320
201,66.567,67.770,68.843,-7.811,-7.666,-8.454,-5650279.546,-1780851.479,-795688.783,0.567,5012828.899,63.640
202,65.591,67.376,68.672,-8.141,-9.960,-12.269,-4863255.791,-1924504.507,-877443.521,0.197,5963345.035,64.950
203,65.377,67.145,68.550,-4.076,-6.922,-10.599,-1534370.251,-1253275.428,-680694.526,0.960,9717270.043,66.010
204,65.588,67.037,68.467,0.228,-4.981,-10.519,341039.380,-744215.040,-524217.373,-0.473,7893198.702,62.880
